;Strombedarf_FW;Wärmebedarf_FW
185;0,0;-475,25100313173346
186;0,0;-248,42277274333364
187;0,0;-290,2412255774669
188;0,0;-397,77957551093334
189;0,0;-295,16526577786686
190;0,0;-351,11624305466677
191;0,0;-447,1503060508001
192;0,0;-517,9586367429334
193;0,0;-557,2243345609334
194;0,0;-585,2162925242669
195;0,0;-607,5545476966666
196;0,0;-614,8623544586668
197;0,0;-605,0588378806667
198;0,0;-536,8332835148
199;0,0;-607,3215649978667
200;0,0;-523,745901788667
201;0,0;-221,9886854333335
202;0,0;-246,79997929866698
203;0,0;-137,37315060680004
204;0,0;-197,86819156346672
205;0,0;-69,32656732626667
206;0,0;-179,14385275963616
207;0,0;-339,42731888120016
208;0,0;-646,2076404601337
209;0,0;-565,4408454844004
210;0,0;-317,4920060158668
211;0,0;-290,1492986918669
212;0,0;-406,539675081867
213;0,0;-301,4989136738667
214;0,0;-347,4398027072002
215;0,0;-437,74675115533336
216;0,0;-495,1064957376
217;0,0;-533,0142348300002
218;0,0;-547,6103172490668
219;0,0;-558,5515669229335
220;0,0;-551,0014324529335
221;0,0;-448,7421951122668
222;0,0;-189,49843744977687
223;0,0;-345,929267553374
224;0,0;-585,7112998444408
225;0,0;-618,2197738455075
226;0,0;-471,1829356715221
227;0,0;-450,09077129778825
228;0,0;-377,5931344203221
229;0,0;-112,52627727718452
230;0,0;-117,68780667491801
231;0,0;-226,68213120428342
232;0,0;-496,89448562105247
233;0,0;-428,29319577830864
234;0,0;-239,68190309213335
235;0,0;-221,02381283093348
236;0,0;-298,8018007857334
237;0,0;-222,22214352586676
238;0,0;-316,73221968519755
239;0,0;-375,2043555411955
240;0,0;-466,7283888868
241;0,0;-509,3734204908002
242;0,0;-526,5946551774667
243;0,0;-540,3999649489334
244;0,0;-533,9108372973334
245;0,0;-433,26940828906675
246;0,0;-179,6580856369769
247;0,0;-332,1396128805743
248;0,0;-496,9677914484408
249;0,0;-526,5456667731072
250;0,0;-274,2504615663218
251;0,0;-152,7667571213885
252;0,0;60,90791018767802
253;0,0;-8,21346955518457
254;0,0;10,710266888682057
255;0,0;-75,07986109851834
256;0,0;-401,26246398545265
257;0,0;-351,019826633509
258;0,0;-195,3503103493333
259;0,0;-192,35608230893334
260;0,0;-283,58437830453335
261;0,0;-221,6077785926667
262;0,0;-325,0405684297213
263;0,0;-391,9714492545275
264;0,0;-496,3402233268001
265;0,0;-559,3513862188001
266;0,0;-601,9597781858668
267;0,0;-633,8249357957335
268;0,0;-643,3058522809334
269;0,0;-562,2356372714668
270;0,0;-335,23886047377687
271;0,0;-528,590257199374
272;0,0;-793,739396521641
273;0,0;-810,8862930503077
274;0,0;-615,0100913787215
275;0,0;-604,3835548517883
276;0,0;-514,8459801715219
277;0,0;-540,6319870787846
278;0,0;-623,6753749141182
279;0,0;-769,9806812622838
280;0,0;-810,2540080910525
281;0,0;-736,458262109909
282;0,0;-488,2483424457334
283;0,0;-473,6058539965335
284;0,0;-554,0586345133337
285;0,0;-434,8295798274669
286;0,0;-521,5017727869333
287;0,0;-569,8062987997334
288;0,0;-652,7300860532
289;0,0;-682,82188203
290;0,0;-688,0651796362667
291;0,0;-692,9009017437335
292;0,0;-684,9118349209334
293;0,0;-585,6168828874668
294;0,0;-345,1531088781768
295;0,0;-535,4123531493742
296;0,0;-673,2951095124412
297;0,0;-601,7858000335076
298;0,0;-349,07122786232156
299;0,0;-277,1703368373886
300;0,0;-143,85598080952164
301;0,0;-292,72127096038435
302;0,0;-413,66670788611805
303;0,0;-492,90138993548356
304;0,0;-586,8878662094528
305;0,0;-525,5141042155092
306;0,0;-316,6389519981336
307;0,0;-295,2011564537334
308;0,0;-370,70845907333353
309;0,0;-280,7197634722668
310;0,0;-370,620458544207
311;0,0;-423,9285026461333
312;0,0;-519,013399606
313;0,0;-565,7248620427999
314;0,0;-588,6390510742666
315;0,0;-606,5468106101334
316;0,0;-604,7910444209334
317;0,0;-506,4431610938667
318;0,0;-251,79237611097682
319;0,0;-422,26922826977403
320;0,0;-379,5695941740408
321;0,0;-274,3081517599075
322;0,0;-24,013869630321643
323;0,0;-205,24448644818852
324;0,0;-374,94988277072173
325;0,0;-474,1320998515845
326;0,0;-558,0562476649181
327;0,0;-610,4907904534836
328;0,0;-639,2352734442525
329;0,0;-572,5081911495091
330;0,0;-357,67986924173346
331;0,0;-342,0048855189335
332;0,0;-422,4978181621334
333;0,0;-328,0158665946668
334;0,0;-423,89637595237593
335;0,0;-482,89421742573336
336;0,0;-589,8670054374667
