Wohnen;Gewerbe;Schule;;;;;;;;
0,000140559;0,000290049;0,000309681;;;;;;;;
0,000145101;0,000294349;0,000314272;;;;;;;;
0,000145724;0,000260451;0,000278079;;;;;;;;
0,000139612;0,00021981;0,000234688;;;;;;;;
0,000142905;0,00021715;0,000231848;;;;;;;;
0,000140959;0,000241337;0,000257671;;;;;;;;
0,000140484;0,000249719;0,000266621;;;;;;;;
0,000168926;0,000248326;0,000265133;;;;;;;;
0,000183071;0,000189656;0,000202492;;;;;;;;
0,000179754;0,000134849;0,000143976;;;;;;;;
0,000163088;0,000114715;0,000122479;;;;;;;;
0,000151038;0,000100302;0,00010709;;;;;;;;
0,000164137;9,29E-05;9,92E-05;;;;;;;;
0,000141957;8,55E-05;9,13E-05;;;;;;;;
0,000117033;7,24E-05;7,73E-05;;;;;;;;
0,000099844;6,34E-05;6,76E-05;;;;;;;;
0,000091037;5,94E-05;6,35E-05;;;;;;;;
0,000087145;6,39E-05;6,82E-05;;;;;;;;
0,000086421;7,67E-05;8,19E-05;;;;;;;;
0,000093707;8,50E-05;9,08E-05;;;;;;;;
0,000108151;0,000107499;0,000114774;;;;;;;;
0,000130954;0,000161171;0,000172079;;;;;;;;
0,000134946;0,000254741;0,000271982;;;;;;;;
0,000135545;0,000284858;0,000304138;;;;;;;;
0,000139413;0,000290276;0,000309923;;;;;;;;
0,000144627;0,000294578;0,000314516;;;;;;;;
0,000145475;0,000260654;0,000278295;;;;;;;;
0,000140885;0,000219982;0,000234871;;;;;;;;
0,000143429;0,000217319;0,000232028;;;;;;;;
0,000142256;0,000241525;0,000257872;;;;;;;;
0,000141208;0,000249913;0,000266828;;;;;;;;
0,000167853;0,00024852;0,00026534;;;;;;;;
0,000182823;0,000189803;0,000202649;;;;;;;;
0,000180328;0,000134954;0,000144088;;;;;;;;
0,000163962;0,000114804;0,000122574;;;;;;;;
0,000151313;0,000100379;0,000107173;;;;;;;;
0,000166082;9,30E-05;9,93E-05;;;;;;;;
0,000143005;8,56E-05;9,14E-05;;;;;;;;
0,000120303;7,25E-05;7,74E-05;;;;;;;;
0,000103212;6,34E-05;6,77E-05;;;;;;;;
0,000094131;5,95E-05;6,35E-05;;;;;;;;
0,000087444;6,39E-05;6,82E-05;;;;;;;;
0,000085649;7,68E-05;8,20E-05;;;;;;;;
0,00009196;8,51E-05;9,08E-05;;;;;;;;
0,000107628;0,000107572;0,000114852;;;;;;;;
0,000130481;0,000161281;0,000172197;;;;;;;;
0,000137093;0,000254915;0,000272168;;;;;;;;
0,000138688;0,000285053;0,000304347;;;;;;;;
0,000141658;0,000290473;0,000310133;;;;;;;;
0,000148244;0,000294777;0,000314729;;;;;;;;
0,000150589;0,00026083;0,000278483;;;;;;;;
0,000144651;0,000220131;0,00023503;;;;;;;;
0,000147595;0,000217467;0,000232186;;;;;;;;
0,000144602;0,000241689;0,000258047;;;;;;;;
0,000142706;0,000250083;0,000267009;;;;;;;;
0,000167929;0,000248689;0,000265521;;;;;;;;
0,000181725;0,000189932;0,000202787;;;;;;;;
0,000178232;0,000135047;0,000144188;;;;;;;;
0,000162215;0,000114882;0,000122657;;;;;;;;
0,00015054;0,000100449;0,000107247;;;;;;;;
0,000163563;9,30E-05;9,93E-05;;;;;;;;
0,00014061;8,57E-05;9,15E-05;;;;;;;;
0,000116908;7,25E-05;7,74E-05;;;;;;;;
0,000099021;6,34E-05;6,77E-05;;;;;;;;
0,00009131;5,95E-05;6,35E-05;;;;;;;;
0,000085748;6,39E-05;6,83E-05;;;;;;;;
0,000085573;7,68E-05;8,20E-05;;;;;;;;
0,000092933;8,51E-05;9,09E-05;;;;;;;;
0,000105533;0,000107635;0,00011492;;;;;;;;
0,000129956;0,000161374;0,000172296;;;;;;;;
0,00013537;0,000255062;0,000272325;;;;;;;;
0,000137866;0,000285217;0,000304522;;;;;;;;
0,000140536;0,000290642;0,000310314;;;;;;;;
0,000148344;0,000294948;0,000314911;;;;;;;;
0,000149916;0,000260982;0,000278646;;;;;;;;
0,000145649;0,00022026;0,000235168;;;;;;;;
0,000148269;0,000217594;0,000232322;;;;;;;;
0,000144002;0,00024183;0,000258198;;;;;;;;
0,000142805;0,000250229;0,000267165;;;;;;;;
0,000168102;0,000248834;0,000265676;;;;;;;;
0,000179929;0,000190042;0,000202904;;;;;;;;
0,000175039;0,000135124;0,00014427;;;;;;;;
0,000159895;0,000114949;0,000122729;;;;;;;;
0,000149816;0,000100506;0,000107308;;;;;;;;
0,000167229;9,31E-05;9,94E-05;;;;;;;;
0,000149142;8,71E-05;9,30E-05;;;;;;;;
0,000127162;9,41E-05;1,01E-04;;;;;;;;
0,0001087;8,78E-05;9,37E-05;;;;;;;;
0,000097973;7,94E-05;8,48E-05;;;;;;;;
0,000090139;7,97E-05;8,51E-05;;;;;;;;
0,000085773;8,30E-05;8,86E-05;;;;;;;;
0,000085249;8,95E-05;9,55E-05;;;;;;;;
0,000080034;0,00010654;0,000113751;;;;;;;;
0,000097973;0,000163625;0,0001747;;;;;;;;
0,000121125;0,000221668;0,000236671;;;;;;;;
0,000141832;0,000243343;0,000259813;;;;;;;;
0,000153184;0,000255465;0,000272755;;;;;;;;
0,000159871;0,000255589;0,000272888;;;;;;;;
0,000163088;0,000238908;0,000255078;;;;;;;;
0,000156127;0,000202289;0,000215981;;;;;;;;
0,000157974;0,000146787;0,000156722;;;;;;;;
0,000150763;0,000112989;0,000120636;;;;;;;;
0,000145749;0,000103781;0,000110805;;;;;;;;
0,000172244;0,000116741;0,000124642;;;;;;;;
0,000184295;0,000119905;0,000128021;;;;;;;;
0,000176684;0,000120153;0,000128286;;;;;;;;
0,000157924;0,000113702;0,000121397;;;;;;;;
0,000146448;0,000103254;0,000110242;;;;;;;;
0,000167504;9,28E-05;9,91E-05;;;;;;;;
0,00015498;8,25E-05;8,80E-05;;;;;;;;
0,000131976;7,20E-05;7,69E-05;;;;;;;;
0,000112068;6,36E-05;6,79E-05;;;;;;;;
0,000100392;5,55E-05;5,93E-05;;;;;;;;
0,000090488;5,23E-05;5,58E-05;;;;;;;;
0,000083727;5,22E-05;5,57E-05;;;;;;;;
0,000081582;5,61E-05;5,99E-05;;;;;;;;
0,000072575;6,28E-05;6,71E-05;;;;;;;;
0,000082829;6,30E-05;6,72E-05;;;;;;;;
0,000101615;6,16E-05;6,58E-05;;;;;;;;
0,000128035;7,23E-05;7,72E-05;;;;;;;;
0,000151038;8,44E-05;9,01E-05;;;;;;;;
0,000168677;9,19E-05;9,82E-05;;;;;;;;
0,000171795;9,78E-05;1,04E-04;;;;;;;;
0,000155155;9,86E-05;1,05E-04;;;;;;;;
0,000151163;8,96E-05;9,57E-05;;;;;;;;
0,000142207;7,99E-05;8,53E-05;;;;;;;;
0,000135571;7,97E-05;8,51E-05;;;;;;;;
0,000161492;0,000104597;0,000111676;;;;;;;;
0,000176137;0,000114771;0,000122539;;;;;;;;
0,000173865;0,000116632;0,000124525;;;;;;;;
0,000158547;0,000107295;0,000114557;;;;;;;;
0,00014742;9,42E-05;1,01E-04;;;;;;;;
0,000163813;8,46E-05;9,03E-05;;;;;;;;
0,000144802;7,67E-05;8,19E-05;;;;;;;;
0,000118805;7,26E-05;7,75E-05;;;;;;;;
0,000102164;6,35E-05;6,78E-05;;;;;;;;
0,000094031;5,96E-05;6,36E-05;;;;;;;;
0,00008697;6,40E-05;6,83E-05;;;;;;;;
0,000084649;7,69E-05;8,21E-05;;;;;;;;
0,000091011;8,52E-05;9,10E-05;;;;;;;;
0,000106031;0,000107761;0,000115054;;;;;;;;
0,000128785;0,000161565;0,0001725;;;;;;;;
0,000133775;0,000255364;0,000272648;;;;;;;;
0,000136569;0,000285553;0,00030488;;;;;;;;
0,000139313;0,000290984;0,000310679;;;;;;;;
0,000146798;0,000295296;0,000315283;;;;;;;;
0,000147321;0,000261289;0,000278973;;;;;;;;
0,000142981;0,000220518;0,000235444;;;;;;;;
0,000146;0,00021785;0,000232595;;;;;;;;
0,000144003;0,000242114;0,000258501;;;;;;;;
0,000140685;0,000250523;0,000267479;;;;;;;;
0,000163986;0,000249126;0,000265987;;;;;;;;
0,000179678;0,000190265;0,000203142;;;;;;;;
0,000176385;0,000135283;0,00014444;;;;;;;;
0,000160843;0,000115084;0,000122873;;;;;;;;
0,000149017;0,000100624;0,000107434;;;;;;;;
0,000163338;9,32E-05;9,95E-05;;;;;;;;
0,000142556;8,58E-05;9,16E-05;;;;;;;;
0,000118705;7,26E-05;7,75E-05;;;;;;;;
0,000101914;6,35E-05;6,78E-05;;;;;;;;
0,000094531;5,96E-05;6,36E-05;;;;;;;;
0,000087544;6,40E-05;6,84E-05;;;;;;;;
0,000085249;7,69E-05;8,21E-05;;;;;;;;
0,000091137;8,53E-05;9,10E-05;;;;;;;;
0,000104085;0,000107784;0,000115079;;;;;;;;
0,000128709;0,000161599;0,000172536;;;;;;;;
0,000133749;0,000255417;0,000272704;;;;;;;;
0,000137092;0,000285613;0,000304945;;;;;;;;
0,000139761;0,000291045;0,000310744;;;;;;;;
0,000146323;0,000295358;0,000315349;;;;;;;;
0,000145425;0,000261344;0,000279032;;;;;;;;
0,00014273;0,000220564;0,000235493;;;;;;;;
0,000146797;0,000217896;0,000232644;;;;;;;;
0,000144003;0,000242165;0,000258555;;;;;;;;
0,00014051;0,000250575;0,000267534;;;;;;;;
