H,Betriebszeit_-,Pers/m2,Qi Sommer W/m²,Qi Winter W/m²,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_W_m2,Abwärme W/m²
6354,0.932043871,0.025890108,7.430191199,3.715095599,0.372817549,0.07,2.773199101,0.425493664,0.2,0,2.86388385,0.956466979
6355,0.932043871,0.025890108,9.976288888,4.988144444,0.372817549,0.07,1.590317968,0.425493664,0.2,0,3.383987932,0.941597942
6356,0.932043871,0.025890108,9.837421227,4.918710614,0.372817549,0.07,1.590317968,0.425493664,0.2,0,3.309550136,0.585710769
6357,0.932043871,0.025890108,8.615887805,4.307943903,0.372817549,0.07,0.788587422,0.425493664,0.2,0,3.077112116,0.592498808
6358,0.932043871,0.025890108,7.890192285,3.945096142,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.688114603,0.504577544
6359,0.932043871,0.025890108,5.569233229,2.784616615,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.007128834,0.501345145
6360,0.932043871,0.025890108,4.100688393,2.050344197,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.360720621,0.462556352
6361,0.932043871,0.025890108,3.476231878,1.738115939,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.025990662,0.456091554
6362,0.932043871,0.025890108,3.30063148,1.65031574,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.931862869,0.450273235
6363,0.932043871,0.025890108,3.258523221,1.629261611,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.909291408,0.483243709
6364,0.932043871,0.025890108,3.292568196,1.646284098,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.927540674,0.745714539
6365,0.932043871,0.025890108,3.599868892,1.799934446,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.092264312,1.388315537
6366,0.932043871,0.025890108,5.04409257,2.522046285,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.866417388,1.422578971
6367,0.932043871,0.025890108,6.888159359,3.44407968,0.372817549,0.07,0.394293711,0.425493664,0.2,0,2.573336325,1.11000595
6368,0.932043871,0.025890108,7.953802633,3.976901316,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.722211916,1.175300418
6369,0.932043871,0.025890108,6.585971571,3.292985785,0.372817549,0.07,1.196024257,0.425493664,0.2,0,2.692917042,1.243180805
6370,0.932043871,0.025890108,6.446207989,3.223103995,0.372817549,0.07,2.37890539,0.425493664,0.2,0,2.617999002,1.189522975
6371,0.932043871,0.025890108,6.489212168,3.244606084,0.372817549,0.07,2.37890539,0.425493664,0.2,0,2.641050707,1.307505552
