;LadeLeistungAuﬂenstehende;LadeLeistungExterneStationen;buildingDemandHourly;carDemandHourly;eMobilityCharge;eMobilityDischarge;fahrverbrauchLokal;fahrverbrauchNetz;gridChargingHourly;pvChargingHourly;resLastAfterEMobility;resLastAfterZureisende;resLastBeforeEMobility
3801;0,0;0;0,0;73,05256048457636;0,0;0,0;0,0;73,05256048457636;165,0;0,0;162,27385263799994;162,27385263799994;162,27385263799994
3802;0,0;0;0,0;41,02103704317377;0,0;0,0;0,0;41,02103704317377;105,0;0,0;103,315555077;103,315555077;103,315555077
3803;0,0;0;0,0;19,138258926196162;0,0;0,0;0,0;19,138258926196162;135,0;0,0;35,16383361599998;35,16383361599998;35,16383361599998
3804;3,198814017934044;0;0,0;32,18932167223934;35,775260797065954;0,0;9,596511480875078;22,592810191364258;84,22473920293405;35,775260797065954;-3,1988140179340405;3,552713678800501e-15;-38,974074814999994
3805;0,0;0;0,0;36,1443348489535;8,298115484999983;0,0;1,9995324313675036;34,14480241758599;141,70188451500002;8,298115484999983;0,0;0,0;-8,298115484999983
3806;0,0;0;0,0;60,31069980004807;0,0;0,0;0,0;60,31069980004807;150,0;0,0;37,14249373499999;37,14249373499999;37,14249373499999
3807;0,0;0;0,0;56,35600714795195;0,0;0,0;0,0;56,35600714795195;225,0;0,0;102,41352119;102,41352119;102,41352119
3808;0,0;0;0,0;33,92352885787023;0,0;0,0;0,0;33,92352885787023;345,0;0,0;116,26215648;116,26215648;116,26215648
3809;0,0;0;0,0;42,140029225336875;0,0;0,0;0,0;42,140029225336875;540,0;0,0;153,610915755;153,610915755;153,610915755
3810;0,0;0;0,0;61,561244425740945;0,0;0,0;0,0;61,561244425740945;720,0;0,0;194,4271541;194,4271541;194,4271541
3811;0,0;0;0,0;40,61058545789966;0,0;0,0;0,0;40,61058545789966;870,0;0,0;212,42820123;212,42820123;212,42820123
3812;0,0;0;0,0;37,54661715853453;0,0;0,0;0,0;37,54661715853453;1005,0;0,0;207,60528513;207,60528513;207,60528513
3813;0,0;0;0,0;45,03191763688847;0,0;0,0;0,0;45,03191763688847;1125,0;0,0;208,53892701;208,53892701;208,53892701
3814;0,0;0;0,0;13,86151115640143;0,0;0,0;0,0;13,86151115640143;1170,0;0,0;187,41664095500002;187,41664095500002;187,41664095500002
3815;0,0;0;0,0;2,1109387005924285;0,0;0,0;0,0;2,1109387005924285;1200,0;0,0;158,60216789;158,60216789;158,60216789
3816;0,0;0;0,0;39,245140584708565;0,0;0,0;0,0;39,245140584708565;1080,0;0,0;136,982112655;136,982112655;136,982112655
3817;0,0;0;0,0;19,179855274652585;0,0;0,0;0,0;19,179855274652585;1035,0;0,0;126,01112377;126,01112377;126,01112377
3818;0,0;0;0,0;1,788861573521443;0,0;0,0;0,0;1,788861573521443;1020,0;0,0;119,07984630000001;119,07984630000001;119,07984630000001
3819;0,0;0;0,0;19,059030009075087;0,0;0,0;0,0;19,059030009075087;990,0;0,0;117,58768669;117,58768669;117,58768669
3820;0,0;0;0,0;8,493335908022718;0,0;0,0;0,0;8,493335908022718;975,0;0,0;109,77681400499998;109,77681400499998;109,77681400499998
3821;0,0;0;0,0;18,938799042707192;0,0;0,0;0,0;18,938799042707192;945,0;0,0;86,07572185500001;86,07572185500001;86,07572185500001
3822;0,0;0;0,0;46,38119790292584;0,0;0,0;0,0;46,38119790292584;855,0;0,0;46,565313759999995;46,565313759999995;46,565313759999995
3823;10,595270833765952;0;0,0;117,90454055004187;19,19968806623403;0,0;4,438687059124403;113,46585349091747;490,800311933766;19,19968806623403;-10,595270833765952;0,0;-29,794958899999983
3824;33,36823424439365;0;0,0;157,75717543992718;44,78005662356841;0,0;36,227565379354644;121,52961006057255;150,2199433764316;44,78005662356841;-77,4919691564316;-44,123734912037946;-122,27202578
3825;57,85142348974543;0;0,0;58,05502390915048;36,36363643680616;0,0;17,592431523020313;40,46259238613016;83,63636356319381;36,36363643680616;-177,06326611819384;-119,21184262844841;-213,426902555
3826;84,40991615056238;0;0,0;46,182333551047385;61,75952333958165;0,0;19,014659378815036;27,16767417223235;88,24047666041835;61,75952333958165;-168,51782826541836;-84,10791211485598;-230,277351605
